,NEAR BAD,NEAR GOOD,TOTAL HITS,GOOD,BAD,SO,LOG SO
eerie,2200,5700,313470,62617300,38901700,1.6096313348199,0.686730295587375
effective,120700,559900,18235100,62617300,38901700,2.88189026817898,1.5270154040179
efficient,30600,213900,7531800,62617300,38901700,4.34273772239164,2.11860482453232
effortless,900,7700,274000,62617300,38901700,5.31523485611094,2.41013343931252
elaborate,8000,24300,1273700,62617300,38901700,1.88708094647965,0.916156308778349
electric,43900,150600,9915200,62617300,38901700,2.13125146406318,1.0917008251965
electrical,41900,134600,7533100,62617300,38901700,1.995746057308,0.996928160970895
electronic,47400,195200,17918250,62617300,38901700,2.55844281747375,1.35526598872456
elegant,11800,84100,3432100,62617300,38901700,4.42780240214657,2.14659084095323
elementary,14900,70600,4634300,62617300,38901700,2.94369408835779,1.55762775286895
emotional,74700,141600,4030100,62617300,38901700,1.17765178473683,0.23591301735369
emotionally-invested,50,40,2600,62617300,38901700,0.497008973558426,-1.00865619482743
empty,53500,104300,7502200,62617300,38901700,1.21116906406878,0.276400261291186
endless,18300,37900,2172200,62617300,38901700,1.28665574438964,0.363626099946979
energy-saving,500,4200,226990,62617300,38901700,5.21859422236347,2.38366122795133
engaging,11900,40300,1935300,62617300,38901700,2.10393504563073,1.07309016527995
enjoyable,12200,109600,2002000,62617300,38901700,5.58116634241838,2.48056664545757
enlightened,5900,15900,518600,62617300,38901700,1.67424633041927,0.743511805982444
entire,110600,353600,17907000,62617300,38901700,1.98623839342517,0.990038789216655
enviable,600,5000,168650,62617300,38901700,5.17717680790027,2.3721655891135
envious,2400,5600,151200,62617300,38901700,1.44960950621207,0.535664321396378
equal,83200,195900,8596700,62617300,38901700,1.46280135096297,0.548733864186425
equitable,6700,14800,847600,62617300,38901700,1.37233821057177,0.456636075231107
ergonomic,2400,17200,523200,62617300,38901700,4.45237205479423,2.15457415404087
essential,59600,412300,10837300,62617300,38901700,4.29775167361868,2.10358212548583
european,71100,226000,14071000,62617300,38901700,1.97475436048179,0.981673207743065
evasive,1500,2100,106400,62617300,38901700,0.869765703727245,-0.201301272769828
eventful,800,3100,119990,62617300,38901700,2.40738721567362,1.26746821044681
eventual,6300,13800,951250,62617300,38901700,1.36085790379093,0.444516433338183
everyday,38000,125200,5511500,62617300,38901700,2.04689222004983,1.0334351386616
evident,25600,59400,2486900,62617300,38901700,1.44152016744973,0.527591020860696
evil,216200,961000,5824300,62617300,38901700,2.7614802473962,1.46544180798639
exact,30600,122300,6137800,62617300,38901700,2.48301460237726,1.31209274589466
excellent,40100,17150100,13732600,62617300,38901700,265.703042313727,8.05367093663136
exceptional,77800,186500,3459500,62617300,38901700,1.48927014088442,0.574605470216338
